{epoch}	{lr}	{train_loss}	{test_loss}	{train_acc}	{test_acc}	{train_cos}	{test_cos}	{train_ang}	{test_ang}	{avg_fc_cos_max}	{avg_fc_ang_min}
0	0.1	1.95005645084	1.94292498827	0.2368	0.2349	-0.00100234374698	-0.000978527469706	90.045499542	90.0448660556	0.571844935417	44.5251960754
1	0.0999938316241	1.63368858624	1.62784802437	0.3691	0.3691	0.00953205560359	0.00979163767537	89.4515899777	89.4369152889	0.546505272388	46.4627456665
2	0.0999753280183	1.54987362242	1.55969543934	0.44618	0.4447	0.0664776087254	0.0656685748696	86.1675800281	86.2140453132	0.530589520931	47.5423545837
3	0.0999444937481	1.28532857466	1.29921298265	0.54336	0.5382	0.0947160224319	0.0934190547466	84.5108730027	84.5855522694	0.517155528069	48.6631546021
4	0.0999013364214	1.43949265528	1.45396028042	0.53266	0.5297	0.143521166384	0.141535618454	81.6476655984	81.7646413852	0.496268004179	50.2703895569
5	0.0998458666867	1.06868271041	1.09403300524	0.6145	0.6023	0.180376151502	0.177931370735	79.5016627269	79.6471130806	0.478286474943	51.6132698059
6	0.0997780982302	0.940900457144	0.976293010712	0.68062	0.6605	0.216559802234	0.213389351666	77.3494241932	77.5355148828	0.466732978821	52.426612854
7	0.0996980477728	0.799883574247	0.841523554325	0.7215	0.7067	0.200973186553	0.19631503284	78.286154831	78.5586011322	0.452566921711	53.3978881836
8	0.0996057350657	0.633488083243	0.681722266674	0.77702	0.7584	0.206169799447	0.201241589785	77.9727515189	78.2615200052	0.438105195761	54.3851203918
9	0.0995011828858	0.78380616951	0.826387133598	0.73374	0.7182	0.183458417237	0.177979308665	79.3024080771	79.6247103333	0.434209555387	54.6645393372
10	0.0993844170298	0.597138805628	0.655345174074	0.79136	0.7689	0.210516658366	0.203984106779	77.7003659517	78.0849919902	0.423674583435	55.3778152466
11	0.0992554663077	0.567638638973	0.638655778766	0.80232	0.7803	0.267715891302	0.260354738533	74.2752356605	74.7115865577	0.415774583817	55.9150390625
12	0.0991143625364	0.571538799167	0.655432785749	0.7995	0.7681	0.219943511248	0.211977044046	77.1416308781	77.6074998857	0.406657278538	56.5418891907
13	0.0989611405311	0.71042480123	0.773855159283	0.76108	0.7482	0.279450926244	0.272244081199	73.5331704958	73.9617084215	0.405930250883	56.5979614258
14	0.0987958380969	0.532892300129	0.623258904219	0.81118	0.7836	0.288333535194	0.280577867627	73.01192603	73.4677010562	0.396556288004	57.2203140259
15	0.0986184960199	0.459576661587	0.536383771896	0.84146	0.8119	0.290394031644	0.281662082672	72.8996329115	73.4169046661	0.39623555541	57.2349510193
16	0.0984291580564	0.507876398563	0.59547337532	0.82868	0.8007	0.271941407979	0.262839382887	73.9888108034	74.5249637963	0.389368861914	57.690826416
17	0.0982278709229	0.490004081964	0.587293534279	0.8295	0.8035	0.288695547223	0.278710481226	72.9915375601	73.5831681362	0.385419398546	57.9532661438
18	0.0980146842838	0.638967422724	0.745180239677	0.78974	0.7632	0.291911947012	0.283316798806	72.7435510132	73.2485448744	0.378381639719	58.4204368591
19	0.0977896507399	0.466546243429	0.563489385843	0.83586	0.8069	0.299655945778	0.290370610952	72.3043690027	72.8525956664	0.371029376984	58.8714256287
20	0.0975528258148	0.447844337463	0.55941400826	0.84608	0.8133	0.312435765266	0.301124674082	71.5367234135	72.2040712537	0.372034043074	58.8295402527
21	0.0973042679414	0.360887895525	0.474615917802	0.87582	0.839	0.32321017766	0.311656352282	70.864441144	71.5495093637	0.361075311899	59.5428733826
22	0.0970440384477	0.405389622092	0.517741271257	0.86054	0.8299	0.337371273637	0.325578890443	69.9635182102	70.6629080524	0.352988570929	60.073474884
23	0.0967722015415	0.366664883494	0.48155410111	0.87232	0.8357	0.337219938755	0.32476518929	70.0052091931	70.7487860699	0.351241230965	60.1619262695
24	0.0964888242944	0.35724461019	0.461986277103	0.8724	0.8393	0.331463696361	0.320233884454	70.3429454365	71.0111069982	0.348815917969	60.3213500977
25	0.0961939766256	0.406629665136	0.516493925452	0.86068	0.8299	0.339041214705	0.328417640328	69.8156274026	70.4495963269	0.343880861998	60.6364440918
26	0.0958877312842	0.3422305094	0.463658649921	0.8822	0.8457	0.34658351934	0.333747009039	69.4048346361	70.1696390306	0.336255580187	61.12657547
27	0.0955701638318	0.475535646558	0.592087278962	0.83986	0.8062	0.358012249231	0.346566820741	68.6561403903	69.3388794335	0.338094085455	60.9908256531
28	0.0952413526233	0.31392550993	0.448386207819	0.89038	0.8496	0.350979885817	0.336372131109	69.1137201165	69.9809913913	0.335061371326	61.1968154907
29	0.094901378788	0.341105887532	0.464873207211	0.87998	0.8438	0.353339107037	0.340491884351	68.9496284007	69.7139559933	0.325410336256	61.787853241
30	0.0945503262094	0.348407838106	0.484107196927	0.87688	0.8375	0.380330590606	0.367181671262	67.2862507121	68.0725314889	0.318907469511	62.198009491
31	0.0941882815044	0.310008926868	0.453066048026	0.89284	0.8513	0.373891013503	0.358555390835	67.72347907	68.6410422845	0.316163063049	62.3686485291
32	0.0938153340022	0.333543182373	0.483557543755	0.88358	0.8457	0.370600235224	0.355511233211	67.8844834584	68.7883171456	0.31158041954	62.6552391052
33	0.0934315757219	0.298815611124	0.453996457458	0.8964	0.85	0.375317703843	0.359602198005	67.5776226753	68.5162295933	0.305601328611	63.0145645142
34	0.0930371013502	0.36698111099	0.518075464964	0.87178	0.8305	0.368628254056	0.352726649046	67.971275683	68.9241008965	0.29059535265	63.9406394958
35	0.0926320082177	0.338446353018	0.495495526195	0.88244	0.8382	0.399516739726	0.382275947928	66.0579479867	67.1043565454	0.291065901518	63.9115982056
36	0.0922163962751	0.295757923067	0.449072578549	0.89542	0.8502	0.395868163943	0.379792119861	66.3313219916	67.2943927621	0.283766359091	64.3681716919
37	0.0917903680684	0.360139910638	0.528139211535	0.87614	0.8332	0.380769831061	0.36420496881	67.2142676217	68.2033871217	0.274414569139	64.9322814941
38	0.0913540287137	0.34297473532	0.52100658536	0.88212	0.8326	0.378960154533	0.361437125206	67.3324850822	68.3775678739	0.276073306799	64.8387451172
39	0.0909074858713	0.263162073731	0.417520740628	0.90948	0.8593	0.42294160974	0.406911324263	64.6249472786	65.597837293	0.273106694221	65.0214233398
40	0.0904508497187	0.303158858895	0.467423214912	0.89158	0.8443	0.412048139334	0.393916757107	65.2984766313	66.3994870336	0.268300950527	65.3113937378
41	0.0899842329244	0.313064458907	0.474772710204	0.89032	0.8448	0.389411626577	0.371231359243	66.7549572075	67.8473274478	0.261660546064	65.7101364136
42	0.0895077506188	0.267609712303	0.437771119475	0.9065	0.856	0.413767891169	0.395411471128	65.1843635134	66.291031416	0.256137102842	66.056602478
43	0.0890215203669	0.337678381443	0.514679237008	0.8828	0.8317	0.404115103602	0.385571334362	65.7577103288	66.8714096653	0.258032530546	65.9485473633
